county_id,county_name,state,total_households,percent_household_overcrowding,percent_household_severe_overcrowding
01001,Autauga,Alabama,21055,0.011161244360009499,0.0
01003,Baldwin,Alabama,76135,0.010179286793196296,0.0023642214487423654
01005,Barbour,Alabama,9190,0.01958650707290533,0.004896626768226333
01007,Bibb,Alabama,6915,0.005639913232104121,0.0036153289949385392
01009,Blount,Alabama,20690,0.018124697921701304,0.001208313194780087
01011,Bullock,Alabama,3670,0.0010899182561307902,0.0
01013,Butler,Alabama,7050,0.016312056737588652,0.006382978723404255
01015,Calhoun,Alabama,45100,0.01607538802660754,0.0042128603104212865
01017,Chambers,Alabama,13695,0.03278568820737496,0.01891201168309602
01019,Cherokee,Alabama,10795,0.015748031496062992,0.002315886984715146
01021,Chilton,Alabama,16770,0.026833631484794274,0.005664877757901014
01023,Choctaw,Alabama,5465,0.014272644098810613,0.001463860933211345
01025,Clarke,Alabama,9600,0.020729166666666667,0.0040625
01027,Clay,Alabama,5335,0.004498594189315839,0.0007497656982193065
01029,Cleburne,Alabama,5770,0.011265164644714038,0.0
01031,Coffee,Alabama,19620,0.012232415902140673,0.001783893985728848
01033,Colbert,Alabama,21985,0.006095064816920627,0.0015465089833977712
01035,Conecuh,Alabama,4720,0.01461864406779661,0.0029661016949152543
01037,Coosa,Alabama,4200,0.015238095238095238,0.004523809523809524
01039,Covington,Alabama,15285,0.019299967288191038,0.006542361792607131
01041,Crenshaw,Alabama,5360,0.008395522388059701,0.002798507462686567
01043,Cullman,Alabama,31095,0.017205338478855123,0.003859141341051616
01045,Dale,Alabama,18825,0.013280212483399735,0.005046480743691899
01047,Dallas,Alabama,16485,0.038519866545344256,0.015165301789505611
01049,DeKalb,Alabama,25480,0.027864992150706435,0.010007849293563579
01051,Elmore,Alabama,29115,0.01287995878413189,0.004121586810922205
01053,Escambia,Alabama,13225,0.022684310018903593,0.005671077504725898
01055,Etowah,Alabama,39060,0.01408090117767537,0.002304147465437788
01057,Fayette,Alabama,6955,0.01509705248023005,0.004313443565780014
01059,Franklin,Alabama,11530,0.03642671292281006,0.015177797051170859
01061,Geneva,Alabama,10695,0.016362786348761104,0.0018700327255726976
01063,Greene,Alabama,3025,0.03305785123966942,0.003305785123966942
01065,Hale,Alabama,5665,0.037069726390114736,0.00529567519858782
01067,Henry,Alabama,6725,0.007434944237918215,0.0022304832713754648
