household_network,True
same_age_household,True
num_households,"{'poor': 204000, 'rich': 34000}"
max_household_sizes,"{'poor': 5, 'rich': 3}"
econ_network,watts strogatz
average_worker_degree,20
rewiring_prob,1
initial_infection_fraction,0.001
household_transmission_prob,0.25
other_transmission_prob,0.005
time_steps_pre_lockdown,0
time_steps_post_lockdown_pre_reopening,60
time_steps_post_reopening,0
occupations_staying_at_home,retiree
partial_opening,True
worker_staying_at_home_prob,0.4
staying_at_home_output_remaining_scale,1.0
viral_test_fraction_all,0.00145
viral_test_fraction_poor,
contact_tracing_efficacy,0.7
subsidy,0.1
hospital_capacity,0.0025
undertreatment_effect,0.5
despair_prob_factor,5.5e-05
inactive_prob_factor,0.01
trial,time,stay_at_home_count,stay_at_home_count_poor,stay_at_home_count_rich,isolation_count,isolation_count_poor,isolation_count_rich,infections,infections_poor,infections_rich,recoveries,recoveries_poor,recoveries_rich,hospitalizations,hospitalizations_poor,hospitalizations_rich,hospitalizations_cumsum,hospitalizations_cumsum_poor,hospitalizations_cumsum_rich,ICU_count,ICU_count_poor,ICU_count_rich,viral_deaths,viral_deaths_poor,viral_deaths_rich,undertreated_deaths,undertreated_deaths_poor,undertreated_deaths_rich,deaths_of_despair,deaths_of_despair_poor,deaths_of_despair_rich,active_count,active_count_poor,active_count_rich,total_output,total_output_poor,total_output_rich,total_subsidy,total_subsidy_poor,total_subsidy_rich
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010003295,0.001005219,0.0009563183,0.0,0.0,0.0,0.0,0.0,0.0,5.59008e-05,6.21111e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
0,1,0.3684625524,0.368536156,0.3678000265,1.4711e-06,1.6345e-06,0.0,0.001635833,0.0016737304,0.0012947079,0.0,0.0,0.0,0.0,0.0,0.0,8.67933e-05,9.64356e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8843e-06,6.538e-06,0.0,0.9994880667,0.9994818627,0.9995439097,0.8793312609,0.8792609665,0.8794171787,0.043822858,0.079676933,0.0
0,2,0.3684625524,0.368536156,0.3678000265,8.38512e-05,8.66286e-05,5.88504e-05,0.0024066751,0.0024860781,0.0016919478,0.0,0.0,0.0,0.0,0.0,0.0,0.0001294544,0.0001389327,4.41378e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17686e-05,1.3076e-05,0.0,0.9990246787,0.9990291056,0.9989848313,0.8788405738,0.8788105969,0.8788772132,0.0438258066,0.0796782406,4.9545e-06
0,3,0.3684625524,0.368536156,0.3678000265,0.0002118345,0.0002157543,0.0001765511,0.0030524761,0.0031611276,0.0020744751,0.0,0.0,0.0,1.4711e-06,1.6345e-06,0.0,0.000161818,0.0001716228,7.35629e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35372e-05,2.6152e-05,0.0,0.9985112743,0.9985076993,0.9985434536,0.8783514118,0.8782977569,0.8784169919,0.0438298341,0.0796805943,1.10277e-05
0,4,0.3684625524,0.368536156,0.3678000265,0.0004119004,0.0004249706,0.0002942518,0.0035702937,0.0037037824,0.0023687269,0.0,0.0,0.0,1.4711e-06,1.6345e-06,0.0,0.0001882973,0.0002010438,7.35629e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.94215e-05,3.269e-05,0.0,0.9980625971,0.9980549422,0.9981315011,0.8779151083,0.8778421406,0.8780042935,0.04383343,0.0796832095,1.58224e-05
0,5,0.3684610813,0.3685345215,0.3678000265,0.0006090241,0.0006309179,0.0004119525,0.0040248552,0.0041777881,0.0026482661,0.0,0.0,0.0,2.9421e-06,3.269e-06,0.0,0.0002000659,0.0002124853,8.82755e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.82479e-05,4.24971e-05,0.0,0.9975344819,0.9975400739,0.9974841472,0.8773314428,0.8773133642,0.8773535395,0.0438362349,0.0796846478,2.02974e-05
0,6,0.3684581392,0.3685312525,0.3678000265,0.0008576355,0.0008891693,0.000573791,0.0044617639,0.0046321798,0.0029278053,2.20661e-05,2.12485e-05,2.94252e-05,1.02975e-05,1.14415e-05,0.0,0.0002103634,0.0002239268,8.82755e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.56033e-05,5.06696e-05,0.0,0.9969960693,0.9970121296,0.9968515058,0.8767477165,0.8767682265,0.876722648,0.0438402623,0.079686217,2.73296e-05
0,7,0.368455197,0.3685279835,0.3678000265,0.0011430236,0.0011882832,0.0007356295,0.0049369204,0.0051225305,0.0032661949,4.119e-05,4.08626e-05,4.41378e-05,1.17686e-05,1.3076e-05,0.0,0.0002265452,0.0002402719,0.0001029881,0.0,0.0,0.0,1.4711e-06,1.6345e-06,0.0,0.0,0.0,0.0,5.73718e-05,6.37456e-05,0.0,0.9964723674,0.9964727439,0.9964689785,0.8762589532,0.8762150633,0.8763125979,0.0438446494,0.0796885706,3.42019e-05
0,8,0.3684493127,0.3685214455,0.3678000265,0.0014637175,0.0015200872,0.0009563183,0.0054047216,0.0056177847,0.0034868837,6.91404e-05,6.37456e-05,0.0001177007,1.91239e-05,2.12485e-05,0.0,0.0002515535,0.0002664239,0.0001177007,0.0,0.0,0.0,1.4711e-06,1.6345e-06,0.0,0.0,0.0,0.0,7.06115e-05,7.84561e-05,0.0,0.9959574919,0.9959725861,0.9958216246,0.8756773834,0.8756870878,0.8756655222,0.0438472384,0.0796898782,3.83573e-05
0,9,0.3684419574,0.3685149075,0.3677853139,0.0018314857,0.0019041953,0.0011770072,0.0059048863,0.0061440945,0.0037517103,0.0001294544,0.0001242222,0.0001765511,2.79504e-05,3.10555e-05,0.0,0.0002662642,0.0002811344,0.0001324133,1.4711e-06,1.6345e-06,0.0,1.4711e-06,1.6345e-06,0.0,0.0,0.0,0.0,8.0909e-05,8.98976e-05,0.0,0.9954455585,0.9954675249,0.9952478336,0.8751120235,0.8751419991,0.8750753855,0.0438506905,0.0796904013,4.53894e-05
