household_network,True
same_age_household,True
num_households,"{'poor': 153000, 'rich': 34000}"
max_household_sizes,"{'poor': 7, 'rich': 3}"
econ_network,watts strogatz
average_worker_degree,20
rewiring_prob,1
initial_infection_fraction,0.001
household_transmission_prob,0.25
other_transmission_prob,0.005
time_steps_pre_lockdown,0
time_steps_post_lockdown_pre_reopening,60
time_steps_post_reopening,0
occupations_staying_at_home,retiree
partial_opening,True
worker_staying_at_home_prob,0.4
staying_at_home_output_remaining_scale,1.0
viral_test_fraction_all,0.00145
viral_test_fraction_poor,
contact_tracing_efficacy,0.7
subsidy,0.1
hospital_capacity,0.0025
undertreatment_effect,0.5
despair_prob_factor,5.5e-05
inactive_prob_factor,0.01
trial,time,stay_at_home_count,stay_at_home_count_poor,stay_at_home_count_rich,isolation_count,isolation_count_poor,isolation_count_rich,infections,infections_poor,infections_rich,recoveries,recoveries_poor,recoveries_rich,hospitalizations,hospitalizations_poor,hospitalizations_rich,hospitalizations_cumsum,hospitalizations_cumsum_poor,hospitalizations_cumsum_rich,ICU_count,ICU_count_poor,ICU_count_rich,viral_deaths,viral_deaths_poor,viral_deaths_rich,undertreated_deaths,undertreated_deaths_poor,undertreated_deaths_rich,deaths_of_despair,deaths_of_despair_poor,deaths_of_despair_rich,active_count,active_count_poor,active_count_rich,total_output,total_output_poor,total_output_rich,total_subsidy,total_subsidy_poor,total_subsidy_rich
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010012457,0.0009950102,0.0010571911,0.0,0.0,0.0,0.0,0.0,0.0,3.23932e-05,3.27306e-05,2.93664e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
0,1,0.3655871864,0.3656204331,0.3652888922,4.4173e-06,4.9096e-06,0.0,0.0019862947,0.002047299,0.0014389546,0.0,0.0,0.0,0.0,0.0,0.0,7.21486e-05,7.36438e-05,5.87328e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4173e-06,4.9096e-06,0.0,0.9994949599,0.9994926757,0.9995154541,0.8800531738,0.8800031311,0.88011434,0.0438147203,0.0796614546,0.0
0,2,0.3655871864,0.3656204331,0.3652888922,9.57073e-05,9.98283e-05,5.87328e-05,0.0032010413,0.0033614326,0.0017619852,0.0,0.0,0.0,0.0,0.0,0.0,0.0001251557,0.0001309224,7.3416e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17794e-05,1.30922e-05,0.0,0.9989943371,0.9989968071,0.9989721753,0.8795560515,0.8795191624,0.8796011403,0.0438181767,0.0796634184,5.2808e-06
0,3,0.3655871864,0.3656204331,0.3652888922,0.0002709253,0.0002765736,0.0002202481,0.004321553,0.0045593725,0.0021877983,0.0,0.0,0.0,0.0,0.0,0.0,0.0001722732,0.0001783818,0.0001174657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.06139e-05,2.29114e-05,0.0,0.9984701555,0.9984894828,0.9982967477,0.8789760089,0.8790057689,0.8789396339,0.0438217771,0.0796651204,1.12016e-05
0,4,0.3655871864,0.3656204331,0.3652888922,0.0005757163,0.0005973334,0.0003817635,0.005187336,0.0054758293,0.0025989281,0.0,0.0,0.0,0.0,0.0,0.0,0.0002090837,0.000219295,0.0001174657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7976e-05,3.10941e-05,0.0,0.9979489188,0.9979723394,0.9977387857,0.8784275981,0.878466633,0.8783798865,0.0438264577,0.0796676079,1.85627e-05
0,5,0.365585714,0.3656204331,0.3652742089,0.0008863969,0.0009230029,0.000557962,0.0059677187,0.0062973673,0.003010058,0.0,0.0,0.0,1.4724e-06,0.0,1.46832e-05,0.0002473666,0.0002585717,0.0001468321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.09208e-05,3.43671e-05,0.0,0.9974468235,0.9974764708,0.9971808237,0.8778889902,0.8779491647,0.8778154402,0.0438306342,0.0796702264,2.46435e-05
0,6,0.3655812967,0.36561716,0.3652595257,0.0012692261,0.0013288623,0.0007341605,0.00677166,0.0071369072,0.0034946039,8.8345e-06,9.8192e-06,0.0,5.8897e-06,3.2731e-06,2.93664e-05,0.000266508,0.0002782101,0.0001615153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.68105e-05,4.09132e-05,0.0,0.9969093902,0.9969364159,0.9966669114,0.8773244545,0.8773664155,0.8772731665,0.0438350267,0.0796733685,3.05644e-05
0,7,0.3655768795,0.3656122504,0.3652595257,0.0017197867,0.001800183,0.0009984583,0.0076183016,0.0080222699,0.0039938331,3.68105e-05,3.92767e-05,1.46832e-05,1.17794e-05,9.8192e-06,2.93664e-05,0.000294484,0.0003076676,0.0001761985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.97553e-05,4.41863e-05,0.0,0.9963896259,0.996424182,0.996079583,0.8767341874,0.8768012752,0.8766521874,0.0438395632,0.0796771652,3.60052e-05
0,8,0.3655724622,0.3656073408,0.3652595257,0.002229244,0.0023451474,0.00118934,0.0085444538,0.0090090975,0.0043755965,7.95107e-05,8.50996e-05,2.93664e-05,2.06139e-05,1.96384e-05,2.93664e-05,0.0003136255,0.000327306,0.0001908817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.41726e-05,4.90959e-05,0.0,0.9958507202,0.9958874002,0.995521621,0.8761253104,0.876189445,0.8760469201,0.0438442438,0.0796804383,4.24061e-05
0,9,0.3655665725,0.3656007947,0.3652595257,0.0027990706,0.0029441174,0.0014976874,0.0096178481,0.010156305,0.0047867264,0.000175218,0.0001898375,4.40496e-05,2.50311e-05,2.45479e-05,2.93664e-05,0.0003474911,0.0003633097,0.0002055649,1.4724e-06,1.6365e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.30071e-05,5.89151e-05,0.0,0.9953191765,0.9953620741,0.9949342926,0.8755079322,0.8755855846,0.8754130193,0.0438502205,0.0796863297,4.8487e-05
